,Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
178,Cássio (GOL),,6.5,22,1.27,-3.5,-1.14,1.0,,,6.0,1.0,,,,20.0,,,1.0,1.0,,29.0,1.0,,179.0
179,Éder (ZAG),,3.83,28,1.25,1.8,0.5,25.0,,,7.0,13.0,4.0,2.0,,,,,,4.0,,,34.0,2.0,107.0
180,Willian Arão (MEI),,7.17,28,1.24,1.9,0.29,54.0,,,,12.0,10.0,2.0,,,,,,4.0,,,35.0,,99.0
181,Bruno Gomes (MEI),,3.11,17,1.18,2.4,-0.36,34.0,,,,38.0,3.0,1.0,,,,,2.0,3.0,,,29.0,,61.0
182,Praxedes (MEI),,1.12,18,1.17,0.1,-0.07,30.0,1.0,,,17.0,10.0,2.0,,,,,,4.0,,,36.0,1.0,92.0
183,Quintero (ZAG),,1.54,11,1.15,-0.2,-0.13,6.0,,,4.0,4.0,2.0,,,,,,1.0,3.0,,,8.0,,19.0
184,Kevin (LAT),,3.01,24,1.15,0.0,0.0,57.0,,1.0,2.0,20.0,1.0,3.0,,,,1.0,,3.0,,,30.0,4.0,309.0
185,Bruno Méndez (ZAG),,2.01,10,1.12,-0.4,-0.03,11.0,,,4.0,1.0,,1.0,,,,,1.0,3.0,,,10.0,,55.0
186,Índio (ATA),,2.22,8,1.09,6.7,1.14,4.0,1.0,,,3.0,,,1.0,,,,,1.0,,,7.0,,23.0
187,Henrique Lordelo (MEI),,1.41,6,1.05,3.4,0.36,8.0,,,,11.0,2.0,,,,,,,1.0,,,10.0,,18.0
188,Gregore (MEI),,5.64,24,0.9,2.6,0.07,65.0,,2.0,,18.0,8.0,5.0,,,,,1.0,9.0,,,76.0,,138.0
189,Ramires (MEI),,3.72,11,0.89,-2.4,-0.56,5.0,1.0,,,5.0,4.0,,,,,,,1.0,,,8.0,2.0,19.0
190,Willian Maranhão (MEI),,2.24,18,0.85,-2.2,-0.3,40.0,,,,10.0,5.0,2.0,,,,,1.0,5.0,,,31.0,1.0,51.0
191,Luan (MEI),,3.33,20,0.74,0.0,0.0,33.0,,,,11.0,2.0,2.0,,,,,,5.0,,,25.0,,53.0
192,John Victor (GOL),,0.79,8,0.58,-7.3,0.0,,,,1.0,3.0,,,,8.0,,,,,,14.0,1.0,,54.0
193,David Sousa (ZAG),,0.86,6,0.38,0.0,0.0,3.0,,,,,,1.0,,,,,,,,,2.0,,9.0
194,Alvarado (MEI),,3.12,13,0.34,0.0,0.0,12.0,,,,1.0,,,1.0,,,,,2.0,,,10.0,,19.0
195,Christian (MEI),,0.99,25,0.3,1.2,0.2,20.0,1.0,,,28.0,4.0,5.0,1.0,,,,,6.0,,,45.0,2.0,111.0
196,Cleiton (GOL),,2.04,27,0.1,7.8,1.25,1.0,,,6.0,4.0,,,,13.0,,,,,,30.0,1.0,,220.0
197,Marcos Vizolli (TEC),,9.56,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
198,Cesinha (MEI),,0.78,1,-0.1,0.0,0.0,,,,,1.0,,,,,,,,,,,1.0,,1.0
199,Romildo (MEI),,0.77,1,-0.1,0.0,0.0,,,,,,1.0,,,,,,,,,,1.0,,4.0
