Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Caio Alexandre (MEI),,"5,97",25,"2,60","-0,10","0,06",42,4,,,39,15,5,,,,,,6,,,40,3,132
Yago Felipe (MEI),,"4,79",20,"2,60","4,20","-0,45",42,2,,,28,7,4,,,,,,4,,,29,2,68
Weverton (GOL),,"9,53",22,"2,60","0,00","0,00",1,,,9,1,,,,17,,,,,,19,,,191
Luiz Otávio (ZAG),,"4,81",22,"2,59","0,40","-1,31",44,1,,7,5,2,1,1,,,,1,7,,,27,,61
Víctor Cuesta (ZAG),,"10,65",28,"2,57","3,80","0,01",45,,,12,25,2,2,1,,,,,8,,,35,,188
Douglas Baggio (ATA),,"4,17",17,"2,57","-0,70","-0,74",25,,1,,28,5,7,1,,,,,,,,17,1,68
David (ATA),,"5,01",23,"2,55","2,90","0,30",23,5,2,,24,15,5,,,,,,4,,,45,10,87
Vinícius Balieiro (MEI),,"3,83",5,"2,54","0,00","0,00",12,,1,,6,,,,,,,,1,,,9,,8
Dalberto (ATA),,"4,58",7,"2,52","6,70","1,16",3,1,,,8,5,6,2,,,,,,,,17,6,31
Thiago Neves (MEI),,"4,44",21,"2,51","0,00","0,00",9,4,2,,11,12,10,,,,,,3,,,10,,145
Richard (GOL),,"3,96",7,"2,50","3,30","-0,80",,,,3,4,,,,6,,,,1,,7,,,75
Enderson Moreira (TEC),,"5,47",10,"2,49","1,27","-0,20",,,,,,,,,,,,,,,,,,
Sander (LAT),,"7,86",18,"2,48","-0,40","-0,29",47,,,2,38,3,1,,,,,1,4,,,18,,129
Tchê Tchê (MEI),,"8,94",21,"2,47","9,90","1,17",24,3,,,25,10,6,,,,,1,2,,,16,,67
João Victor (ZAG),,"2,89",19,"2,45","-2,20","-1,10",36,,1,5,20,1,1,,,,,,7,,,21,,68
Gustavo Mosquito (ATA),,"4,19",15,"2,44","0,00","0,00",9,2,1,,18,5,3,,,,,,,,,10,1,46
Felipe (MEI),,"5,54",24,"2,42","2,80","0,31",67,1,,,45,8,2,,,,,1,7,,,38,,102
Helinho (ATA),,"3,79",7,"2,38","3,60","-0,41",12,,2,,5,1,2,,,,,,2,,,9,,25
Léo Gil (MEI),,"5,20",11,"2,38","0,30","-0,07",15,,3,,19,5,3,,,,,,3,,,13,,84
Khellven (LAT),,"4,14",13,"2,37","-0,10","-1,04",21,,,5,3,2,,,,,,,2,,,14,,74
Alex (ZAG),,"2,53",10,"2,36","1,50","-0,40",12,,,3,9,,2,,,,,,2,,,6,,33
Rodinei (LAT),,"4,80",16,"2,31","1,90","-1,09",28,,1,4,21,1,2,,,,,,3,,,23,,121
Osvaldo (ATA),,"6,03",25,"2,30","1,50","0,34",25,1,3,,19,14,7,1,,,,,2,,,12,3,115
Lucca (ATA),,"4,53",8,"2,30","1,10","0,06",10,1,,,11,,2,,,,,,,,,9,2,20
José Welison (MEI),,"3,75",11,"2,29","0,80","-0,21",24,,1,,8,5,,,,,,,,,,16,,38
Daniel Oliveira (LAT),,"2,65",11,"2,28","4,70","0,63",14,,,3,4,2,3,,,,,,2,,,12,,11
Carlinhos (LAT),,"5,08",19,"2,26","-5,30","-1,48",26,,,8,23,3,,,,,1,,2,,,30,2,121
Iago Maidana (ZAG),,"6,33",26,"2,26","1,80","-0,41",37,3,,5,16,8,2,,,,,,6,,,30,,166
Kanu (ZAG),,"4,98",26,"2,22","-0,70","-0,39",40,,1,4,27,5,3,,,,,,4,,,25,,76
Fabinho (MEI),,"4,56",24,"2,17","3,40","0,74",54,,,,15,7,3,,,,,,3,,,10,,75
Zé Roberto (ATA),,"4,70",16,"2,14","0,60","-0,28",7,2,1,,41,10,10,,,,,,3,,,35,7,72
